WOType,PONumber,Work_Order_Basic_Start_Date,ACtStartDate,ShortText,WorkCentre,Work_Order_Functional_Location,Functional_Location_Sort_Field,Functional_Location_Description,Work_Order_Type,Work_Order_Total_Actual_Cost
PM01,27,12/07/2001,0/1/00,m tracks - adjust tension,WC1,1234.02.07,EXAMPLE,prop tracks left,Z,2800
PM01,28,12/07/2001,0/1/00,loose bolts in rpc cabinets,WC1,1234.02.08,EXAMPLE,reactive power compensation,X,2900
PM01,29,12/07/2001,16/10/2001,split both hoist motor couplings and che,WC1,1234.02.09,EXAMPLE,hoist drum,Y,3000
PM01,30,12/07/2001,0/1/00,check injectors on centre pin lube syste,WC1,1234.02.10,EXAMPLE,centre pin,Z,3100
PM01,31,12/07/2001,5/07/2001,reweld top platform mounts between hoist,WC1,1234.02.11,EXAMPLE,hoist,X,3200
PM01,32,27/07/2005,28/07/2005,replace adjusting bolts pipe positioner,WC1,1234.02.12,EXAMPLE,pipe positioner arm,Y,3300
PM01,33,12/07/2005,0/1/00,"replace turbo,s shaft movement warranty",WC1,1234.02.13,EXAMPLE,induction & exhaust system,Z,3400
PM01,34,12/07/2005,12/07/2005,replace outer filters,WC1,1234.02.14,EXAMPLE,induction & exhaust system,X,3500
PM01,35,12/07/2005,12/07/2005,positioner alarm going off,WC1,1234.02.15,EXAMPLE,manufacturer6 - NA overburden drill,Y,3600
PM01,36,12/07/2005,12/07/2005,possible fuel leak under engine,WC1,1234.02.16,EXAMPLE,fuel system,Z,3700
PM01,37,12/07/2005,13/07/2005,hoist box oil leaking,WC1,1234.02.17,EXAMPLE,hoist gearcase oil,X,3800
PM01,38,12/07/2005,0/1/00,replace air cleaners,WC1,1234.02.18,EXAMPLE,engine,Y,3900
PM01,39,12/07/2005,0/1/00,replace engine air cleaners,WC1,1234.02.19,EXAMPLE,drill truck mechanical  model1 NA,Z,4000
PM01,40,12/07/2005,0/1/00,lights not working,WC1,1234.02.20,EXAMPLE,lights & power,X,4100
PM01,41,12/07/2005,13/07/2005,check out 240v lighting not working,WC1,1234.02.21,EXAMPLE,240v power,Y,4200
PM01,42,8/07/2005,0/1/00,fuel tank leak,WC1,1234.02.22,EXAMPLE,fuel tank,Z,4300
PM01,43,8/07/2005,8/07/2005,replace carosel top hat,WC1,1234.02.23,EXAMPLE,carousel,X,4400
PM01,44,8/07/2005,0/1/00,repair hiab crane,WC1,1234.02.24,EXAMPLE,crane palfinger rh rear,Y,4500
PM01,45,9/07/2005,9/07/2005,(warranty)replace cab pressurizer fans.,WC1,1234.02.25,EXAMPLE,operators cabin,Z,4600
PM01,46,10/07/2005,10/07/2005,lights not working,WC1,1234.02.26,EXAMPLE,electrical,X,4700
PM01,47,16/07/2005,0/1/00,bolts missing on track grouser,WC1,1234.02.27,EXAMPLE,track - right,Y,4800
PM01,1,10/07/2005,10/07/2005,replace lube tank fill hose.,WC1,1234.02.28,EXAMPLE,grease lube system,Z,4900
PM01,2,10/07/2005,10/07/2005,checked rotary head alignment,WC1,1234.02.29,EXAMPLE,mast,X,5000
PM01,3,10/07/2005,10/07/2005,reweld shock sub to rotary head,WC1,1234.02.30,EXAMPLE,subs/adaptors,Y,5100
PM01,4,27/07/2005,28/07/2005,centre tank not filling with water,WC1,1234.02.31,EXAMPLE,water injection system,Z,5200
PM01,5,2/07/2001,2/07/2001,hydraulic pump failure,WC2,1234.02.32,EXAMPLE,implement pump,X,5300
PM01,6,1/07/2001,2/07/2001,pump drive box coupling and shaft u/s.,WC2,1234.02.33,EXAMPLE,#NAME?,Y,5400
PM01,7,11/07/2005,0/1/00,repair engine excessive blowby,WC1,1234.02.34,EXAMPLE,engine,Z,5500
PM01,8,16/07/2005,0/1/00,two broken growser bolts r/h side,WC1,1234.02.35,EXAMPLE,track - right,X,5600
PM01,9,27/07/2005,0/1/00,adjust all head slides,WC1,1234.02.36,EXAMPLE,rotary guide frame,Y,5700
PM01,10,27/07/2005,28/07/2005,change out main gearbox oil to 85/140,WC1,1234.02.37,EXAMPLE,oil - pump drive gearbox,Z,5800
PM01,11,27/07/2005,28/07/2005,change out both finaldrive oil to 85/140,WC1,1234.02.38,EXAMPLE,final drive assemblies,X,5900
PM01,12,27/07/2005,28/07/2005,change out rotory head gearbox oil,WC1,1234.02.39,EXAMPLE,oil - rotary gearcase,Y,6000
PM01,13,11/07/2005,11/07/2005,oil is discoloured(contaminated),WC1,1234.02.40,EXAMPLE,pump drive gearbox rear,Z,6100
PM01,14,11/07/2005,0/1/00,repair exhaust leaks at turbo area,WC1,1234.01.01,EXAMPLE,turbocharger,X,6200
PM01,16,11/07/2005,0/1/00,replace filters.,WC1,1234.01.02,EXAMPLE,drill truck mechanical  model1 NA,Y,6300
PM01,17,11/07/2005,12/07/2005,check out 240v inverter for operator,WC1,1234.01.03,EXAMPLE,240v inverter,Z,6400
PM01,18,12/07/2005,12/07/2005,replace engine shutdown solenoid,WC1,1234.01.04,EXAMPLE,engine,X,6500
PM01,19,12/07/2005,12/07/2005,repair wiring on air con compressor,WC1,1234.01.05,EXAMPLE,cab a/c compressor,Y,6600
PM01,32,27/07/2005,28/07/2005,replace adjusting bolts pipe positioner,WC1,1234.01.06,EXAMPLE,pipe positioner arm,Z,6700
PM01,33,12/07/2005,0/1/00,"replace turbo,s shaft movement warranty",WC1,1234.01.07,EXAMPLE,induction & exhaust system,X,6800
PM01,34,12/07/2005,12/07/2005,replace outer filters,WC1,1234.01.08,EXAMPLE,induction & exhaust system,Y,6900
PM01,35,12/07/2005,12/07/2005,positioner alarm going off,WC1,1234.01.09,EXAMPLE,manufacturer6 - NA overburden drill,Z,7000
PM01,36,12/07/2005,12/07/2005,possible fuel leak under engine,WC1,1234.01.10,EXAMPLE,fuel system,X,7100
PM01,38,12/07/2005,0/1/00,replace air cleaners,WC1,1234.01.11,EXAMPLE,engine,Y,7200
PM01,39,12/07/2005,0/1/00,replace engine air cleaners,WC1,1234.01.12,EXAMPLE,drill truck mechanical  model1 NA,Z,7300
PM01,40,12/07/2005,0/1/00,lights not working,WC1,1234.01.13,EXAMPLE,lights & power,X,7400
PM01,41,12/07/2005,13/07/2005,check out 240v lighting not working,WC1,1234.01.14,EXAMPLE,240v power,Y,7500
PM01,48,13/07/2005,13/07/2005,repair cable tray.,WC1,1234.01.15,EXAMPLE,drill truck mechanical  model1 NA,Z,7600
PM01,49,13/07/2005,0/1/00,replace hises on shut down,WC1,1234.01.16,EXAMPLE,hydraulic hoses & lines,X,7700
PM01,50,13/07/2005,0/1/00,mimdril restock parts,WC1,1234.01.17,EXAMPLE,drill tools,Y,7800
PM01,51,13/07/2005,0/1/00,mimdril restock parts,WC1,1234.01.18,EXAMPLE,drill tools,Z,7900
PM01,52,13/07/2005,0/1/00,mimdril restock parts,WC1,1234.01.19,EXAMPLE,drill tools,X,8000
PM01,53,13/07/2005,0/1/00,mouse shackles on safety chain,WC1,1234.01.20,EXAMPLE,mast,Y,8100
PM01,54,14/07/2005,14/07/2005,rotray head mtr loose bolts,WC1,1234.02.01,EXAMPLE,rotary head motor,Z,8200
PM01,55,14/07/2005,0/1/00,pertek to fit jack hoses & turbo hoses,WC1,1234.02.02,EXAMPLE,hydraulic hoses & lines,X,8300
PM01,56,14/07/2005,14/07/2005,engine shutting down,WC1,1234.02.03,EXAMPLE,engine,Y,8400
PM01,57,15/07/2005,15/07/2005,engine wont start,WC1,1234.02.04,EXAMPLE,engine,Z,8500
PM01,58,1/08/2005,0/1/00,relocate mufflers to water tank,WC1,1234.02.05,EXAMPLE,induction & exhaust system,X,8600
PM01,59,1/08/2005,0/1/00,fit heat guard to vally of engine,WC1,1234.02.06,EXAMPLE,induction & exhaust system,Y,8700
PM01,60,1/08/2005,0/1/00,modify seperator tank & replace elements,WC1,1234.02.07,EXAMPLE,air/oil separator,Z,8800
PM01,61,1/08/2005,0/1/00,modify bull hose in pump area,WC1,1234.02.08,EXAMPLE,air piping,X,8900
PM01,62,1/08/2005,0/1/00,over haul poppets & air controls,WC1,1234.02.09,EXAMPLE,air system controls,Y,9000
PM01,63,1/08/2005,0/1/00,remove 415v lights & genset & gen pump,WC1,1234.02.10,EXAMPLE,240v power,Z,9100
PM01,64,1/08/2005,0/1/00,remove genset & pump,WC1,1234.02.11,EXAMPLE,alternator 240/415v,X,9200
PM01,65,1/08/2005,0/1/00,up grade isolation points,WC1,1234.02.12,EXAMPLE,alternator 240/415v,Y,9300
PM01,66,12/11/2001,3/07/2001,repair expansion connector  run solder o,WC1,1234.02.13,EXAMPLE,air system piping,Z,9400
PM01,67,9/10/2001,3/07/2001,repair blown suction hose,WC2,1234.02.14,EXAMPLE,#NAME?,X,9500
PM01,68,19/10/2001,3/07/2001,replace blown drive hose,WC1,1234.02.15,EXAMPLE,hydraulics,Y,9600
PM01,69,5/07/2001,3/07/2001,unload shaft & radiator off transport,WC1,1234.02.16,EXAMPLE,manufacturer6 - d40ksl overburden drill,Z,9700
PM01,70,3/07/2001,3/07/2001,locating  arm  replace,WC1,1234.02.17,EXAMPLE,machinery,X,9800
PM01,71,31/08/2005,0/1/00,compressor oil carry over,WC1,1234.02.18,EXAMPLE,air/oil separator,Y,9900
PM01,72,4/07/2001,4/07/2001,refit positioner arm,WC1,1234.02.19,EXAMPLE,machinery,Z,10000
PM01,73,3/07/2001,0/1/00,change out drill steels worn,WC3,1234.02.20,EXAMPLE,steels,X,10100
PM01,74,3/07/2001,0/1/00,replace sub saver with new steels,WC3,1234.02.21,EXAMPLE,crossover sub,Y,10200
PM01,75,17/07/2005,0/1/00,replaced hyd hose.,WC1,1234.02.22,EXAMPLE,breakout fork cylinder left,Z,10300
PM01,76,17/07/2005,17/07/2005,stairs motor suspect.,WC1,1234.02.23,EXAMPLE,motors & cylinders,X,10400
PM01,77,17/07/2005,18/07/2005,repaired flood  light,WC1,1234.02.24,EXAMPLE,lights & power,Y,10500
PM01,78,28/08/2005,0/1/00,replace power step motor,WC1,1234.02.25,EXAMPLE,access stairs,Z,10600
PM01,79,27/07/2005,0/1/00,replace crane control lever,WC1,1234.02.26,EXAMPLE,drill truck mechanical  model1 NA,X,10700
PM01,80,12/08/2005,0/1/00,enweld repair cracked mast handrails,WC1,1234.02.27,EXAMPLE,access stairs,Y,10800
PM01,81,18/07/2005,18/07/2005,repairs to break out wrench,WC1,1234.02.28,EXAMPLE,breakout wrench,Z,10900
PM01,82,22/07/2005,22/07/2005,replace rear gearbox,WC1,1234.02.29,EXAMPLE,pump drive gearbox rear,X,11000
PM01,83,19/07/2005,0/1/00,fit load check valves to positioner arm,WC1,1234.02.30,EXAMPLE,pumps/valves/control,Y,11100
PM01,84,18/07/2005,18/07/2005,build up tool wrench arm,WC1,1234.02.31,EXAMPLE,tool wrench assembly,Z,11200
PM01,85,18/07/2005,18/07/2005,weld extension onto cups on rod support,WC1,1234.02.32,EXAMPLE,pipe positioner arm,X,11300
PM01,86,18/07/2005,18/07/2005,tighten and replace bolts in shock sub.,WC1,1234.02.33,EXAMPLE,subs/adaptors,Y,11400
PM01,87,18/07/2005,18/07/2005,pipe positioner arm creeping in,WC1,1234.02.34,EXAMPLE,pipe positioner arm,Z,11500
PM01,88,19/07/2005,19/07/2005,repairs to tool wrench,WC1,1234.02.35,EXAMPLE,tool wrench assembly,X,11600
PM01,89,19/07/2005,0/1/00,replace dies,WC1,1234.02.36,EXAMPLE,breakout wrench,Y,11700
PM01,90,20/07/2005,20/07/2005,shutting down on ems system,WC1,1234.02.37,EXAMPLE,electrical,Z,11800
PM01,91,20/07/2005,20/07/2005,no accessory  hyd. in high idle,WC1,1234.02.38,EXAMPLE,stacker valves,X,11900
PM01,92,20/07/2005,20/07/2005,replace fuel soleniod,WC1,1234.02.39,EXAMPLE,starting system,Y,12000
PM01,93,14/08/2005,0/1/00,instal level indicators,WC1,1234.02.40,EXAMPLE,operators control console,Z,12100
PM01,94,20/07/2005,19/07/2005,inspect  NA shutdown progress,WC1,1234.01.01,EXAMPLE,drill truck mechanical  NA NA,X,12200
PM01,95,21/07/2005,21/07/2005,replace bolts in pipe positioner cups.,WC1,1234.01.02,EXAMPLE,pipe positioner arm,Y,12300
PM01,96,21/07/2005,21/07/2005,replace broken hose on breakout fork.,WC1,1234.01.03,EXAMPLE,breakout fork cylinder left,Z,12400
PM01,97,1/08/2005,0/1/00,rewire machine cabin chasiis &mast,WC1,1234.01.04,EXAMPLE,electrical,X,12500
PM01,98,1/08/2005,0/1/00,replace rhs fan mtr adapter,WC1,1234.01.05,EXAMPLE,hydraulic fan adaptor - rh,Y,12600
PM01,99,1/08/2005,0/1/00,replace lower stacker valve,WC1,1234.01.06,EXAMPLE,hydraulic stacker valve - lower,Z,12700
PM01,100,1/08/2005,0/1/00,replace middle stacker 7 mount on mast,WC1,1234.01.07,EXAMPLE,hydraulic stacker valve - middle,X,12800
PM01,101,1/08/2005,0/1/00,replace upper stacker & mount on mast,WC1,1234.01.08,EXAMPLE,hydraulic stacker valve - upper,Y,12900
PM01,102,1/08/2005,0/1/00,relocate pump accum & stacker valves,WC1,1234.01.09,EXAMPLE,pumps/valves/control,Z,13000
PM01,103,1/08/2005,0/1/00,install gate valve in hyd tank  suction,WC1,1234.01.10,EXAMPLE,pumps/valves/control,X,13100
PM01,104,1/08/2005,0/1/00,replace water injection mtr on hrs,WC1,1234.01.11,EXAMPLE,water injection motor,Y,13200
PM01,105,1/08/2005,0/1/00,replace winchn mtr on hrs,WC1,1234.01.12,EXAMPLE,rope winch motor,Z,13300
PM01,106,1/08/2005,0/1/00,replace lhs front jack cylinder,WC1,1234.01.13,EXAMPLE,levelling jack cylinder - front left,X,13400
PM01,107,1/08/2005,0/1/00,replace rhs front jack cylinder,WC1,1234.01.14,EXAMPLE,levelling jack cylinder - front right,Y,13500
PM01,108,1/08/2005,0/1/00,replace lhs rear jack cylinder,WC1,1234.01.15,EXAMPLE,levelling jack cylinder - rear left,Z,13600
PM01,109,1/08/2005,0/1/00,replace rhs rear jack cylinder,WC1,1234.01.16,EXAMPLE,levelling jack cylinder - rear right,X,13700
PM01,110,1/08/2005,0/1/00,replace slide loader cyl x 4,WC1,1234.01.17,EXAMPLE,slide loader cylinders,Y,13800
PM01,111,1/08/2005,0/1/00,replace down hole air cyl,WC1,1234.01.18,EXAMPLE,down hole air cylinder,Z,13900
PM01,112,1/08/2005,0/1/00,replace mast lock cyl's 2 of,WC1,1234.01.19,EXAMPLE,mast lock cylinders,X,14000
PM01,113,1/08/2005,0/1/00,replace wrok deck cylinders x 2,WC1,1234.01.20,EXAMPLE,work deck cylinders,Y,14100
PM01,114,1/08/2005,0/1/00,replace mast chain tensioner cylinders,WC1,1234.02.01,EXAMPLE,chain feed  pulldown,Z,14200
PM01,115,1/08/2005,0/1/00,check & align compressor mounting,WC1,1234.02.02,EXAMPLE,compressor unit,X,14300
PM01,116,1/08/2005,0/1/00,modify pump bay covers,WC1,1234.02.03,EXAMPLE,main frame,Y,14400
PM01,117,1/08/2005,0/1/00,replace loader & overhaul slides,WC1,1234.02.04,EXAMPLE,carousel,Z,14500
PM01,118,1/08/2005,0/1/00,"replace p/down chains,sprockets,carriers",WC1,1234.02.05,EXAMPLE,chain feed  pulldown,X,14600
PM01,119,1/08/2005,0/1/00,repair cracking in mast,WC1,1234.02.06,EXAMPLE,mast,Y,14700
PM01,120,1/08/2005,0/1/00,overhaul pipe positioner arm & mounts,WC1,1234.02.07,EXAMPLE,pipe positioner arm,Z,14800
PM01,121,1/08/2005,0/1/00,replace mast pivot bolts & bushes,WC1,1234.02.08,EXAMPLE,mast,X,14900
PM01,122,1/08/2005,0/1/00,mast access mods,WC1,1234.02.09,EXAMPLE,mast,Y,15000
PM01,123,1/08/2005,0/1/00,repair bent track frame,WC1,1234.02.10,EXAMPLE,track frame - rh,Z,15100
PM01,124,1/08/2005,0/1/00,over haul track frames as required,WC1,1234.02.11,EXAMPLE,track frames,X,15200
PM01,125,1/08/2005,0/1/00,crack repairs chasiis & replace gussets,WC1,1234.02.12,EXAMPLE,vehicle body,Y,15300
PM01,126,1/08/2005,0/1/00,overhaul track adjuster cylinders,WC1,1234.02.13,EXAMPLE,track adjuster cyls,Z,15400
PM01,127,1/08/2005,0/1/00,replace track with new track chain,WC1,1234.02.14,EXAMPLE,track - rh,X,15500
PM01,128,1/08/2005,0/1/00,replace full set of track rollers rhs,WC1,1234.02.15,EXAMPLE,track rollers - rh,Y,15600
PM01,129,1/08/2005,0/1/00,replace lhs drive sprocket,WC1,1234.02.16,EXAMPLE,track frame - lh,Z,15700
PM01,130,22/07/2005,22/07/2005,tighten hoses on slap wrench.,WC1,1234.02.17,EXAMPLE,breakout fork assembly,X,15800
PM01,131,26/07/2005,22/07/2005,drill steels tight in no:5&6 pots.,WC1,1234.02.18,EXAMPLE,carousel,Y,15900
PM01,132,22/07/2005,0/1/00,air cond not cold,WC1,1234.02.19,EXAMPLE,air conditioning,Z,16000
PM01,133,3/07/2001,0/1/00,send away & repair slap wrench wr no0355,WC1,1234.02.20,EXAMPLE,drill truck mechanical  NA NA,X,16100
PM01,134,23/07/2005,23/07/2005,drill steels wont undo,WC1,1234.02.21,EXAMPLE,drill rods,Y,16200
PM01,135,23/07/2005,23/07/2005,faulty sensor on mast head,WC1,1234.02.22,EXAMPLE,electrical cables/controls,Z,16300
PM01,136,23/07/2005,24/07/2005,replace step card,WC1,1234.02.23,EXAMPLE,electrical,X,16400
PM01,137,23/07/2005,27/07/2005,l/h propel control cable,WC1,1234.02.24,EXAMPLE,electrical cables/controls,Y,16500
PM01,138,24/07/2005,25/07/2005,will not tram,WC1,1234.02.25,EXAMPLE,electrical cables/controls,Z,16600
PM01,139,25/07/2005,25/07/2005,no hydraulic  power,WC1,1234.02.26,EXAMPLE,direction control valves,X,16700
PM01,140,3/07/2001,3/07/2001,bleed l/h propel motor.,WC1,1234.02.27,EXAMPLE,propel assembly no.1,Y,16800
PM01,141,11/07/2001,3/07/2001,check deck seal for correct operation.,WC1,1234.02.28,EXAMPLE,deck,Z,16900
PM01,142,3/07/2001,3/07/2001,repair leak on fuel tank.,WC1,1234.02.29,EXAMPLE,pumping systems,X,17000
PM01,143,25/07/2005,0/1/00,enweld repair cracks ITEM_ID,WC1,1234.02.30,EXAMPLE,engine,Y,17100
PM01,144,25/07/2005,26/07/2005,replace stroker,WC1,1234.02.31,EXAMPLE,pumps/valves/control,Z,17200
PM01,145,26/07/2005,0/1/00,change engine air filters,WC1,1234.02.32,EXAMPLE,induction & exhaust,X,17300
PM01,146,26/07/2005,0/1/00,frieght step ass. to hasting deering,WC1,1234.02.33,EXAMPLE,access stairs,Y,17400
PM01,147,5/07/2001,4/07/2001,locate and weld shaft for track frames,WC1,1234.02.34,EXAMPLE,propel,Z,17500
PM01,148,3/07/2001,0/1/00,replace hydraulic hoses,WC1,1234.02.35,EXAMPLE,hydraulics,X,17600
PM01,149,26/07/2005,26/07/2005,heat up drill rod to break out,WC1,1234.02.36,EXAMPLE,drill rods,Y,17700
PM01,150,27/07/2005,27/07/2005,carousel ..broken section.,WC1,1234.02.37,EXAMPLE,carousel,Z,17800
PM01,151,18/08/2005,0/1/00,enweld repair mast cracking,WC1,1234.02.38,EXAMPLE,mast,X,17900
PM01,152,19/10/2005,0/1/00,change out carousel,WC1,1234.02.39,EXAMPLE,carousel,Y,18000
PM01,153,16/08/2005,0/1/00,enweld repair hydraulic tank,WC1,1234.02.40,EXAMPLE,hydraulic tank,Z,18100
PM01,154,27/07/2005,28/07/2005,air cond pressurizers u/s,WC1,1234.01.01,EXAMPLE,air conditioning system,X,18200
PM01,155,6/08/2005,0/1/00,replace safty valve as per pope report.,WC1,1234.01.02,EXAMPLE,air compressor receiver/separator,Y,18300
PM01,156,27/07/2005,27/07/2005,air con not working,WC1,1234.01.03,EXAMPLE,air conditioning system,Z,18400
PM01,157,27/07/2005,27/07/2005,buzzer alarm on in cab,WC1,1234.01.04,EXAMPLE,frame,X,18500
PM01,158,27/07/2005,27/07/2005,l/h propel motor plug leaking,WC1,1234.01.05,EXAMPLE,propel motor - left,Y,18600
PM01,159,28/07/2005,0/1/00,replace deck bush seal,WC1,1234.01.06,EXAMPLE,drill rods,Z,18700
PM01,160,28/07/2005,0/1/00,engine shutting down.,WC1,1234.01.07,EXAMPLE,cooling system,X,18800
PM01,161,30/07/2005,9/08/2005,replace engine idle timmer,WC1,1234.01.08,EXAMPLE,electrical cables/controls,Y,18900
PM01,162,28/07/2005,0/1/00,engine not shutting down,WC1,1234.01.09,EXAMPLE,engine,Z,19000
PM01,163,29/07/2005,29/07/2005,add another drill rod,WC1,1234.01.10,EXAMPLE,drill rods,X,19100
PM01,164,29/07/2005,0/1/00,inspect breakout lube system,WC1,1234.01.11,EXAMPLE,thread lubrication system,Y,19200
PM01,165,4/07/2001,4/07/2001,change guide rollers,WC2,1234.01.12,EXAMPLE,rotary head gearbox,Z,19300
PM01,166,29/07/2005,0/1/00,replace air filters,WC1,1234.01.13,EXAMPLE,induction & exhaust system,X,19400
PM01,167,29/07/2005,29/07/2005,replace air con belt,WC1,1234.01.14,EXAMPLE,engine,Y,19500
PM01,168,31/07/2005,29/07/2005,replace fuel filters -eng diagnostic on,WC1,1234.01.15,EXAMPLE,fuel system,Z,19600
PM01,169,29/07/2005,29/07/2005,replace air conditioner compressor,WC1,1234.01.16,EXAMPLE,cab a/c compressor,X,19700
PM01,170,30/07/2005,30/07/2005,top up reciever tank with oil,WC1,1234.01.17,EXAMPLE,air compressor system,Y,19800
PM01,171,30/07/2005,30/07/2005,repair oil leak,WC1,1234.01.18,EXAMPLE,hydraulic stacker valve - upper,Z,19900
PM01,172,30/07/2005,30/07/2005,engine loosing power......,WC1,1234.01.19,EXAMPLE,engine,X,20000
PM01,173,30/07/2005,30/07/2005,rod wont undo on head,WC1,1234.01.20,EXAMPLE,drill rods,Y,20100
PM01,174,1/08/2005,0/1/00,remove bent rods.,WC1,1234.02.01,EXAMPLE,drill rods,Z,20200
PM01,175,31/07/2005,31/07/2005,engine wouldn't run .,WC1,1234.02.02,EXAMPLE,starting system,X,20300
PM01,176,26/08/2005,0/1/00,replace front jack cable connector,WC1,1234.02.03,EXAMPLE,hydraulic stacker valve - lower,Y,20400
PM01,177,26/08/2005,0/1/00,fresh water tank cracked,WC1,1234.02.04,EXAMPLE,main frame,Z,20500
PM01,178,26/08/2005,0/1/00,replace servo filter dirt indicators,WC1,1234.02.05,EXAMPLE,pumps/valves/control,X,20600
PM01,179,1/08/2005,1/08/2005,replase exhaust flex,WC1,1234.02.06,EXAMPLE,induction & exhaust system,Y,20700
PM01,180,1/08/2005,1/08/2005,mem repair track frame,WC1,1234.02.07,EXAMPLE,track frame - lh,Z,20800
PM01,181,2/08/2005,0/1/00,retighten up bolts,WC1,1234.02.08,EXAMPLE,aux carousel index motor,X,20900
PM01,182,2/08/2005,2/08/2005,reseal  plugs,WC1,1234.02.09,EXAMPLE,oil - final drive - left,Y,21000
PM01,183,2/08/2005,0/1/00,replace input shalf bearing,WC1,1234.02.10,EXAMPLE,pump drive gearbox rear,Z,21100
PM01,184,24/08/2005,0/1/00,replace safety chain eye bolts,WC1,1234.02.11,EXAMPLE,mast,X,21200
PM01,185,3/08/2005,0/1/00,replace l/hand idler,WC1,1234.02.12,EXAMPLE,idler - left hand,Y,21300
PM01,186,5/08/2005,5/08/2005,repair cracks in r/h track frame,WC1,1234.02.13,EXAMPLE,track frame - rh,Z,21400
PM01,187,3/08/2005,3/08/2005,remove /dismantle track frame for repair,WC1,1234.02.14,EXAMPLE,track frame - rh,X,21500
PM01,188,3/08/2005,3/08/2005,inspection hatch broke of/repaired,WC1,1234.02.15,EXAMPLE,air conditioning system,Y,21600
PM01,189,4/08/2005,0/1/00,mem to rekit l&r track adjusters,WC1,1234.02.16,EXAMPLE,track adjuster cyls,Z,21700
PM01,190,4/08/2005,4/08/2005,replace hose fitting,WC1,1234.02.17,EXAMPLE,hydraulic hoses and pipes,X,21800
PM01,191,4/08/2005,0/1/00,"engine won""t start.",WC1,1234.02.18,EXAMPLE,starting system,Y,21900
PM01,192,4/08/2005,4/08/2005,hydraulic cooler hose has slight leak.pi,WC1,1234.02.19,EXAMPLE,hydraulics,Z,22000
